state_abbrev,cities,population,crime_rate_per_100k
CA,Woodland,56323,12054.4005113364
RI,Woonsocket,41147,17471.504605439037
TX,Wylie,43645,6730.209646007561
PA,York,43955,22452.735752474124
CA,Yucaipa,52622,7677.397286306108
CA,Alameda,75467,1599.5203201399288
GA,Albany,78512,1682.290605257795
NY,Albany,98187,2743.540387220304
CA,Alhambra,84469,1230.6289881494986
TX,Allen,88783,468.10763321807104
GA,Alpharetta,60031,660.6586596924923
CA,Apple Valley,70823,2669.3305846970616
WI,Appleton,73431,1311.2990426386675
IL,Arlington Heights,75463,419.5433523713608
NC,Asheville,85295,2644.4691951462573
WA,Auburn,72218,2074.4135811016645
AZ,Avondale,78364,2273.110101577255
CA,Baldwin Park,76644,2120.974896926047
NJ,Bayonne,64036,2636.01724030233
TX,Baytown,74420,1446.2510077936038
OR,Beaverton,92276,690.5370843989771
CA,Bellflower,77886,2512.2615104126544
WA,Bellingham,82665,1744.2690376822115
PA,Bensalem Township,60665,1589.549163438556
PA,Bethlehem,75388,1646.9464636281634
ND,Bismarck,64103,2090.6977832550742
IL,Bloomington,77107,1925.895184613589
IN,Bloomington,81636,1889.1175461806065
MN,Bloomington,84596,595.1818052863019
FL,Boca Raton,86493,1229.9261211889977
IL,Bolingbrook,73836,1025.380573162143
LA,Bossier City,63116,2404.936941504531
FL,Boynton Beach,69937,3221.899709738765
NJ,Brick Township,75809,770.7528129905421
CT,Bristol,60688,1772.838122857896
MA,Brockton,95156,2333.6415990583882
MN,Brooklyn Park,77346,1412.4841620769012
TX,Bryan,78479,1961.4164298729597
CA,Buena Park,82505,1561.602327131689
MN,Burnsville,61218,1006.0766441242772
CA,Camarillo,66506,700.839022043124
NJ,Camden,77665,2652.6749501062254
OH,Canton,72914,3609.5948651836406
IN,Carmel,81819,2446.619978244662
CA,Carson,93233,2520.459493956003
IL,Champaign,81329,3454.610286613631
NY,Cheektowaga Town,79178,1236.3282730051276
NJ,Cherry Hill Township,71337,1151.5763208433211
WY,Cheyenne,60969,1697.2559825485082
CA,Chico,87090,2104.2599609599265
CA,Chino Hills,76632,1845.8346382712182
CA,Chino,79792,2166.0066172047323
IL,Cicero,84300,2468.2087781731907
CA,Citrus Heights,85112,2426.684838800639
NY,Clarkstown Town,80186,441.72299403885967
NJ,Clifton,84684,1209.083179821454
MI,Clinton Township,97001,1317.821465758085
CA,Clovis,97828,1857.9547777732346
TX,College Station,96567,1735.1683287251337
NY,Colonie Town,77853,597.1510410645703
CA,Compton,98057,2715.5633967998206
AR,Conway,60700,2754.8599670510707
MN,Coon Rapids,62301,806.4076018041443
IA,Council Bluffs,62708,3094.8204375837213
RI,Cranston,80315,1249.4552698748678
CT,Danbury,81891,863.4648496171741
FL,Davie,94952,1825.6592804785578
CA,Davis,66628,1502.3713753977306
FL,Daytona Beach,61861,2772.667755128433
MI,Dearborn,97215,1547.9092732602994
IL,Decatur,76131,1356.2149452916683
FL,Deerfield Beach,77431,2498.4825199209617
FL,Delray Beach,62044,4244.729546773258
AL,Dothan,66275,1748.4722746133534
MN,Duluth,86830,1484.279626857077
MN,Eagan,65180,590.8254065664313
NJ,East Orange,64682,4524.751862960328
MN,Eden Prairie,62052,365.9833687874686
TX,Edinburg,80332,1430.189712692327
OK,Edmond,83473,746.3491188767625
CA,Encinitas,60960,1794.94750656168
IL,Evanston,74820,1679.0964982624967
CT,Fairfield,60122,1015.1026246631848
MA,Fall River,89753,2483.928113823493
MI,Farmington Hills,80316,782.7830071218686
AR,Fayetteville,75387,2486.3703291018346
WA,Federal Way,91978,1643.1103089869318
IN,Fishers,79375,1347.4015748031497
AZ,Flagstaff,66633,1857.9382588207045
TX,Flower Mound,68023,2524.4402628522707
CA,Folsom,73678,891.7180162327967
FL,Fort Myers,64379,3525.2178505413253
AR,Fort Smith,87483,2034.4524078963912
MA,Framingham,69605,1366.424825802744
NJ,"Franklin Township, Somerset County",62885,1486.8410590760914
TN,Franklin,64848,753.7626449543548
MD,Frederick,66808,2540.7136869835945
IN,Gary,80472,3445.2977433144447
NC,Gastonia,72782,2074.688796680498
NJ,Gloucester Township,64898,2070.3257419334955
AZ,Goodyear,67033,1762.7138871898915
NY,Greece Town,96752,795.8491814122705
CO,Greeley,96276,1656.0721259711663
NC,Greenville,86869,1363.6625263327537
SC,Greenville,60953,4925.762472724887
CT,Greenwich,61948,2037.5153354426293
CT,Hamden,61032,2515.4017564556298
NJ,"Hamilton Township, Mercer County",89111,1255.6250070137244
OH,Hamilton,62791,2409.4217324138813
IN,Hammond,81010,2588.939637081842
TX,Harlingen,67112,2795.4762188580285
MA,Haverhill,61897,3536.681907039113
CA,Hawthorne,85692,3155.370396303039
CA,Hemet,81213,1957.4452366000514
CA,Hesperia,92383,2485.1974930452575
OR,Hillsboro,94119,900.6683028931459
FL,Homestead,62785,1369.9131958270286
AL,Hoover,82332,958.9224116989748
CA,Indio,78501,2253.856638768933
IA,Iowa City,69214,1707.4580287225124
TN,Jackson,65725,831.0384176492963
WI,Janesville,63642,1881.304798717828
GA,Johns Creek,80037,1776.428401864138
TN,Johnson City,64342,3080.10319853284
AR,Jonesboro,68807,1461.4792099641024
CA,Jurupa Valley,97577,2120.4792112895457
MI,Kalamazoo,74797,2616.682487265532
LA,Kenner,67110,1807.4802562956338
WA,Kennewick,76971,1747.0216055397489
WI,Kenosha,99993,1353.0947166301642
FL,Kissimmee,62183,3274.0459611147744
CA,La Habra,61731,1718.747468856814
IN,Lafayette,68160,2178.2570422535214
CA,Laguna Niguel,64533,2060.0313018145757
CA,Lake Forest,79166,804.2594042897204
FL,Lakeland,99934,1116.436848319891
NJ,Lakewood Township,93742,1505.5151372917155
CA,Lakewood,81382,1713.6467523531003
PA,Lancaster,60155,4087.274540769679
FL,Largo,78783,2403.945013518145
NM,Las Cruces,99824,2000.0200352620614
FL,Lauderhill,69046,2850.708223503172
KS,Lawrence,89180,1945.167077820139
MA,Lawrence,77661,4559.560139581
OK,Lawton,98781,2192.2232008179712
UT,Layton,69420,1168.2512244309996
TX,League City,86127,709.0691653024023
MO,Lee's Summit,91840,698.3885017421603
CA,Livermore,82800,1586.9565217391305
MI,Livonia,96028,883.8047236222769
CA,Lodi,63718,2209.2658275526537
CO,Longmont,88925,1062.2434635929155
TX,Longview,82554,1822.4434915328147
OH,Lorain,64148,1866.153270561826
CO,Loveland,69147,1177.491431298538
VA,Lynchburg,77347,1618.1623075232392
MA,Lynn,91846,2943.514143239771
CA,Lynwood,70908,4882.805889321375
GA,Macon,92836,1933.0863027273901
CA,Madera,62796,4818.300528696095
MA,Malden,60605,2638.5611748205592
CA,Manteca,68887,2880.8047962605424
MN,Maple Grove,62840,524.1884150222788
WA,Marysville,61381,2205.8943321223182
OR,Medford,76037,2601.233609953049
FL,Melbourne,77133,3501.0955103522488
CA,Menifee,80047,1571.701625295139
CA,Merced,80976,1898.71072910492
CT,Meriden,60934,2782.0264548527916
ID,Meridian,77270,710.1074155558431
FL,Miami Beach,91066,1670.1073946368567
NJ,Middletown Township,66919,1833.4105411019295
CA,Milpitas,68433,1783.0578814314733
CA,Mission Viejo,95599,1469.471437985753
TX,Mission,80557,1217.2747247290738
MT,Missoula,67758,2014.9650225803596
TX,Missouri City,70819,2095.482850647425
CA,Montebello,63538,3341.3075639774625
CA,Monterey Park,61270,3121.7561612534682
SC,Mount Pleasant,70016,1093.3215265082267
NY,Mount Vernon,68146,3628.239368414874
CA,Mountain View,75933,1044.0783322139255
IN,Muncie,70300,2850.924608819346
ID,Nampa,83316,1434.7784339142543
CA,Napa,78589,1622.1099644988485
NH,Nashua,86870,1148.9582134223554
MA,New Bedford,96031,2450.562839083213
TX,New Braunfels,60482,1700.1752587546707
CT,New Britain,73458,1903.2644504342618
NY,New Rochelle,78025,996.9881448253764
CA,Newport Beach,87286,973.6956671172924
MA,Newton,86710,1391.304347826087
NJ,North Bergen Township,61747,2384.0834372520117
AR,North Little Rock,63125,3189.8613861386134
FL,North Miami,60964,3608.0309690965164
TX,North Richland Hills,65750,1658.7072243346008
PA,Northern York Regional,66974,613.0737301042195
CT,Norwalk,86693,1204.24947804321
MO,O'Fallon,80670,451.8408330234288
UT,Ogden,85083,2287.6485314340116
NJ,Old Bridge Township,66057,719.5301027900147
UT,Orem,91953,429.3497765162638
WI,Oshkosh,66514,1715.7290194545508
